time,nod1,nod2,u2_mean,v2_mean,trend,total,total_nodal,total_wind
1964,-0.2856720967243044,1.0783003107908626,0.42943113218988654,0.4528183260116097,1.4596114226940013,3.134489094962056,0.7926282140665583,0.8822494582014963
1965,-0.1333692454994033,1.2655631601834687,0.3985966182180938,0.050017530264297366,1.6095050589359268,3.190313122102383,1.1321939146840654,0.4486141484823911
1966,0.03398770046141869,1.30997517738944,0.4910110568744694,0.2453261979693994,1.753373996875446,3.8336741295701735,1.3439628778508586,0.7363372548438688
1967,0.19750827424598366,1.206523342263626,1.086289761554494,0.6294122505184175,1.891049051477335,5.010782680059856,1.4040316165096096,1.7157020120729114
1968,0.33873504063519544,0.9668848126152145,0.32855275317466265,0.13544938819311805,2.0225012655133403,3.7921232601315307,1.30561985325041,0.46400214136778073
1969,0.44172698479831113,0.6181088614171126,0.3260951184840799,0.19905065777427522,2.1482773411493135,3.7332589636230926,1.0598358462154238,0.5251457762583551
1970,0.4948588592604539,0.19956368177325445,0.628500202314238,0.27474484403160426,2.269064049504708,3.866731636884259,0.6944225410337084,0.9032450463458422
1971,0.49213338729822886,-0.24150731002477555,0.39743914509747197,0.3528588707657883,2.385645542260848,3.386569635397562,0.2506260772734533,0.7502980158632603
1972,0.43385820740029896,-0.6553180896883172,0.20357282284872472,0.5758540496297754,2.4988218121461703,3.0567888023366523,-0.22145988228801822,0.7794268724785001
1973,0.3266111484780543,-0.9951596377843401,0.7228561853598545,0.22047262598816567,2.609339306783813,2.8841196288255473,-0.6685484893062859,0.9433288113480202
1974,0.18249775539769555,-1.222672234715702,0.8087469736910379,0.7390609873047583,2.7179237677454418,3.2255572494232316,-1.0401744793180063,1.5478079609957962
1975,0.017784871868376056,-1.3121753259063074,0.533678787327918,0.32477703767433513,2.8252830252774954,2.389348396241817,-1.2943904540379314,0.8584558250022531
1976,-0.14893548456048625,-1.2535662223224435,0.2702389503707101,0.4096337042046599,2.932111001603353,2.2094819492957933,-1.4025017068829297,0.6798726545753699
1977,-0.2988447022165505,-1.0534604446145819,0.47437340543100287,0.29941017869799863,3.039043494394611,2.46052193169248,-1.3523051468311325,0.7737835841290015
1978,-0.41502173190341657,-0.7344449941827773,0.4901652361010931,0.4948849560611347,3.1466926198897625,2.9822760859657964,-1.149466726086194,0.9850501921622278
1979,-0.48435305554954555,-0.33252883842456776,0.5113067392970053,0.43169327893422277,3.2557790071653674,3.381897131422482,-0.8168818939741134,0.9430000182312281
1980,-0.49901287860666993,0.10692161257032777,0.4233749383793243,0.23539817737800262,3.367107537286895,3.6337893870078797,-0.39209126603634215,0.6587731157573269
1981,-0.45734646902402865,0.5343032535564095,0.6121356482884608,0.3420910795718645,3.4816387322682196,4.512822244660926,0.07695678453238086,0.9542267278603254
1982,-0.3640569356391505,0.901375249941668,0.5501171172677003,0.9013888097730587,3.60047161136025,5.589295852703527,0.5373183143025175,1.4515059270407589
1983,-0.22967436331670596,1.1667042368765437,0.8439255521187541,0.6344290902264358,3.724814756206586,6.140199272111614,0.9370298735598377,1.4783546423451899
1984,-0.06936722637042364,1.300341123095303,0.4018941870132992,0.37147519352517994,3.855984685098351,5.860327962361709,1.2309738967248793,0.7733693805384791
1985,0.09876975765521233,1.2872016038332503,0.38525974848062905,0.4274739187989027,3.994995801540137,6.193700830308131,1.3859713614884626,0.8127336672795318
1986,0.25575807481077417,1.1287688063811974,0.7246772786035901,0.9399599575466462,4.142436967622396,7.191601084964605,1.3845268811919715,1.6646372361502362
1987,0.3838776203596513,0.8429258816349106,0.27197359210716177,0.18687207868236555,4.298615430722263,5.984264603506352,1.2268035019945618,0.4588456707895273
1988,0.4686668610675978,0.46193743792002223,0.7652758504917154,0.49931349277641146,4.463405023440405,6.658598665696152,0.93060429898762,1.2645893432681268
1989,0.5005551852285592,0.02880766337225399,0.7129289511862966,0.9759131471811153,4.636647639048036,6.854852586016261,0.5293628486008133,1.688842098367412
1990,0.4759431884139407,-0.4075737850670797,1.1713483839831853,1.3249844466725667,4.818209375343093,7.382911609345706,0.06836940334686098,2.496332830655752
1991,0.3976089573580571,-0.7979502167628317,0.4411322892353172,0.3917228539656125,5.007941153927837,5.440455037723993,-0.4003412594047746,0.8328551432009297
